id;company_name;street_address;city;state_code;zip_code;phone_number;contact_person;rating_of_work;rating_of_responsiveness
1;olive;payment Legacy Personal Loan Account;Hermistonshire;SC;63828-9062;synergize Taka Metal;XSS IB Barbados;3;4
2;Via mobile turquoise;digital Wooden Garden;Baileymouth;ca;22361;explicit USB El Salvador Colon US Dollar;Product;5;5
3;Garden Analyst;Home Loan Account;Lake Cole;Ma;99489-3492;optimizing New Jersey motivating;SMTP Metal;1;4
4;Borders;Wooden Toys;Pollichtown;Li;04383;primary;navigate Sleek B2C;5;4
5;Qatari Rial;systemic Borders;South Retastad;or;30596-0001;Web;Money Market Account;4;3
6;schemas;white Diverse;O'Keefemouth;Ch;69878;Beauty;zero defect program Convertible Marks;0;3
7;invoice archive Customer;Corporate;Unaborough;Ke;82777-8954;cross-platform experiences;Garden Borders;3;0
8;distributed out-of-the-box magnetic;Organized infomediaries Aruba;South Madisonhaven;in;07297-4849;Avon;Metal Grocery Technician;5;3
9;Auto Loan Account;Interactions interfaces Automated;West Carmen;Bu;12215-0352;input Response firewall;Fantastic Soft Bacon pink Checking Account;3;1
10;reboot;Handcrafted Future value-added;Terrenceberg;Le;49821;Program;Savings Account bluetooth sexy;5;0
